,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Healdsburg,38.61,-122.87,287.04,100,90,1.24,US,1600165074
1,Rikitea,-23.12,-134.97,296.02,84,75,4.57,PF,1600165074
2,Punta Arenas,-53.15,-70.92,275.15,87,42,9.3,CL,1600165074
3,Atuona,-9.8,-139.03,298.82,73,1,8.21,PF,1600165074
4,Mataura,-46.19,168.86,279.26,82,37,4.47,NZ,1600165075
5,Ushuaia,-54.8,-68.3,274.15,86,75,12.9,AR,1600165075
6,New Norfolk,-42.78,147.06,285.93,61,94,3.13,AU,1600164637
8,Coyhaique,-45.58,-72.07,280.15,48,53,3.1,CL,1600165076
9,Grand Island,40.92,-98.34,289.15,82,1,4.6,US,1600164990
11,Mar del Plata,-38.0,-57.56,279.26,80,0,1.5,AR,1600164888
12,Virginia Beach,36.85,-75.98,293.71,79,19,7.83,US,1600164831
14,Milledgeville,33.08,-83.23,297.15,94,90,4.1,US,1600165077
15,Mossamedes,-15.2,12.15,294.95,64,67,3.07,AO,1600165077
16,Busselton,-33.65,115.33,292.59,42,0,7.69,AU,1600165077
17,Grants Pass,42.44,-123.33,289.15,71,90,0.48,US,1600164976
18,Tasiilaq,65.61,-37.64,275.15,94,90,6.7,GL,1600165078
19,Albany,42.6,-73.97,279.82,71,1,1.34,US,1600165078
20,Bethel,41.37,-73.41,281.15,75,1,2.47,US,1600165078
21,Yellowknife,62.46,-114.35,274.82,80,75,6.7,CA,1600165045
22,Dikson,73.51,80.55,280.36,86,100,9.28,RU,1600165078
23,Arraial do Cabo,-22.97,-42.03,296.15,88,75,6.7,BR,1600164823
24,Nanortalik,60.14,-45.24,279.05,74,100,17.11,GL,1600165079
25,Bluff,-46.6,168.33,279.26,82,45,4.47,NZ,1600165079
26,Lebu,-37.62,-73.65,283.18,89,100,6.49,CL,1600165079
27,Warmbad,-28.45,18.73,293.3,23,0,1.9,NA,1600165080
28,Ponta do Sol,32.67,-17.1,295.93,65,12,1.34,PT,1600165080
29,Atbasar,51.8,68.33,285.54,82,100,6.97,KZ,1600165080
30,Port Alfred,-33.59,26.89,289.28,59,84,3.22,ZA,1600165081
31,Ola,59.58,151.28,284.28,72,100,3.92,RU,1600165081
32,Tiznit Province,29.58,-9.5,302.53,19,97,2.22,MA,1600165081
33,Jinchang,38.5,102.17,293.34,21,0,4.91,CN,1600165082
34,Talnakh,69.49,88.4,287.15,76,99,7.0,RU,1600165082
